model_name,train_missing_prop,test_missing_prop,seed,outer_fold,prediction_source,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.6,22,2,ensemble,0,22|outer_2|ensemble,56,0.5504469987228608
Di-MMLP,0.0,0.6,22,3,ensemble,0,22|outer_3|ensemble,56,0.4980842911877395
Di-MMLP,0.0,0.6,22,4,ensemble,0,22|outer_4|ensemble,56,0.6883780332056194
Di-MMLP,0.0,0.6,22,5,ensemble,0,22|outer_5|ensemble,56,0.5743589743589743
Di-MMLP,0.0,0.6,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5209876543209877
Di-MMLP,0.0,0.6,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.611749680715198
Di-MMLP,0.0,0.6,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.6347381864623244
Di-MMLP,0.0,0.6,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.49042145593869735
Di-MMLP,0.0,0.6,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.6897435897435897
Di-MMLP,0.0,0.6,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.5074074074074074
Di-MMLP,0.0,0.6,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.6079182630906769
Di-MMLP,0.0,0.6,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.6526181353767561
Di-MMLP,0.0,0.6,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.5427841634738186
Di-MMLP,0.0,0.6,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.591025641025641
Di-MMLP,0.0,0.6,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.5839506172839506
Di-MMLP,0.0,0.6,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.5555555555555556
Di-MMLP,0.0,0.6,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.6181353767560664
Di-MMLP,0.0,0.6,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.48659003831417624
Di-MMLP,0.0,0.6,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.4705128205128205
Di-MMLP,0.0,0.8,4,1,ensemble,0,4|outer_1|ensemble,57,0.5111111111111111
Di-MMLP,0.0,0.8,4,2,ensemble,0,4|outer_2|ensemble,56,0.4393358876117497
Di-MMLP,0.0,0.8,4,3,ensemble,0,4|outer_3|ensemble,56,0.5951468710089399
Di-MMLP,0.0,0.8,4,4,ensemble,0,4|outer_4|ensemble,56,0.49489144316730516
Di-MMLP,0.0,0.8,4,5,ensemble,0,4|outer_5|ensemble,56,0.5974358974358974
Di-MMLP,0.0,0.8,22,1,ensemble,0,22|outer_1|ensemble,57,0.508641975308642
Di-MMLP,0.0,0.8,22,2,ensemble,0,22|outer_2|ensemble,56,0.4853128991060025
Di-MMLP,0.0,0.8,22,3,ensemble,0,22|outer_3|ensemble,56,0.5874840357598978
Di-MMLP,0.0,0.8,22,4,ensemble,0,22|outer_4|ensemble,56,0.6455938697318008
Di-MMLP,0.0,0.8,22,5,ensemble,0,22|outer_5|ensemble,56,0.5397435897435897
Di-MMLP,0.0,0.8,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5382716049382716
Di-MMLP,0.0,0.8,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6245210727969348
Di-MMLP,0.0,0.8,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.5504469987228608
Di-MMLP,0.0,0.8,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.4980842911877395
Di-MMLP,0.0,0.8,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.6217948717948718
Di-MMLP,0.0,0.8,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.4432098765432099
Di-MMLP,0.0,0.8,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.5261813537675606
Di-MMLP,0.0,0.8,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.6257982120051085
Di-MMLP,0.0,0.8,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.5836526181353767
Di-MMLP,0.0,0.8,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.5692307692307692
Di-MMLP,0.0,0.8,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.5098765432098766
Di-MMLP,0.0,0.8,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.5376756066411239
Di-MMLP,0.0,0.8,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.6053639846743295
Di-MMLP,0.0,0.8,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.5153256704980843
Di-MMLP,0.0,0.8,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.4423076923076923
Di-MMLP,0.2,0.0,4,1,ensemble,0,4|outer_1|ensemble,57,0.6814814814814815
Di-MMLP,0.2,0.0,4,2,ensemble,0,4|outer_2|ensemble,56,0.6538952745849298
Di-MMLP,0.2,0.0,4,3,ensemble,0,4|outer_3|ensemble,56,0.5619412515964239
Di-MMLP,0.2,0.0,4,4,ensemble,0,4|outer_4|ensemble,56,0.6487867177522351
Di-MMLP,0.2,0.0,4,5,ensemble,0,4|outer_5|ensemble,56,0.6846153846153846
Di-MMLP,0.2,0.0,22,1,ensemble,0,22|outer_1|ensemble,57,0.5518518518518519
Di-MMLP,0.2,0.0,22,2,ensemble,0,22|outer_2|ensemble,56,0.6794380587484036
Di-MMLP,0.2,0.0,22,3,ensemble,0,22|outer_3|ensemble,56,0.648786717752235
Di-MMLP,0.2,0.0,22,4,ensemble,0,22|outer_4|ensemble,56,0.6922094508301405
Di-MMLP,0.2,0.0,22,5,ensemble,0,22|outer_5|ensemble,56,0.6846153846153846
Di-MMLP,0.2,0.0,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5395061728395063
Di-MMLP,0.2,0.0,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.7458492975734355
Di-MMLP,0.2,0.0,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.7164750957854406
Di-MMLP,0.2,0.0,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.6245210727969348
Di-MMLP,0.2,0.0,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.7615384615384615
Di-MMLP,0.2,0.0,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.5987654320987654
Di-MMLP,0.2,0.0,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.6551724137931034
Di-MMLP,0.2,0.0,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.735632183908046
Di-MMLP,0.2,0.0,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.6436781609195402
Di-MMLP,0.2,0.0,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.6423076923076924
Di-MMLP,0.2,0.0,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.5679012345679012
Di-MMLP,0.2,0.0,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.6091954022988506
Di-MMLP,0.2,0.0,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.7164750957854407
Di-MMLP,0.2,0.0,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.6053639846743295
Di-MMLP,0.2,0.0,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.5974358974358974
Di-MMLP,0.2,0.2,4,1,ensemble,0,4|outer_1|ensemble,57,0.6716049382716048
Di-MMLP,0.2,0.2,4,2,ensemble,0,4|outer_2|ensemble,56,0.6040868454661559
Di-MMLP,0.2,0.2,4,3,ensemble,0,4|outer_3|ensemble,56,0.5504469987228608
Di-MMLP,0.2,0.2,4,4,ensemble,0,4|outer_4|ensemble,56,0.6538952745849298
Di-MMLP,0.2,0.2,4,5,ensemble,0,4|outer_5|ensemble,56,0.6333333333333334
Di-MMLP,0.2,0.2,22,1,ensemble,0,22|outer_1|ensemble,57,0.5358024691358025
Di-MMLP,0.2,0.2,22,2,ensemble,0,22|outer_2|ensemble,56,0.6845466155810984
Di-MMLP,0.2,0.2,22,3,ensemble,0,22|outer_3|ensemble,56,0.6692209450830141
Di-MMLP,0.2,0.2,22,4,ensemble,0,22|outer_4|ensemble,56,0.6768837803320562
Di-MMLP,0.2,0.2,22,5,ensemble,0,22|outer_5|ensemble,56,0.6397435897435898
Di-MMLP,0.2,0.2,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5555555555555556
Di-MMLP,0.2,0.2,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6819923371647509
Di-MMLP,0.2,0.2,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.6883780332056194
Di-MMLP,0.2,0.2,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.6232439335887612
Di-MMLP,0.2,0.2,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.7128205128205128
Di-MMLP,0.2,0.2,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.5185185185185185
Di-MMLP,0.2,0.2,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.6819923371647509
Di-MMLP,0.2,0.2,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.7279693486590039
Di-MMLP,0.2,0.2,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.6513409961685824
Di-MMLP,0.2,0.2,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.6782051282051282
Di-MMLP,0.2,0.2,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.5395061728395063
Di-MMLP,0.2,0.2,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.6309067688378034
Di-MMLP,0.2,0.2,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.7254150702426565
Di-MMLP,0.2,0.2,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.632183908045977
Di-MMLP,0.2,0.2,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.5615384615384615
Di-MMLP,0.2,0.4,4,1,ensemble,0,4|outer_1|ensemble,57,0.6777777777777778
Di-MMLP,0.2,0.4,4,2,ensemble,0,4|outer_2|ensemble,56,0.5810983397190294
Di-MMLP,0.2,0.4,4,3,ensemble,0,4|outer_3|ensemble,56,0.5683269476372925
Di-MMLP,0.2,0.4,4,4,ensemble,0,4|outer_4|ensemble,56,0.6296296296296295
Di-MMLP,0.2,0.4,4,5,ensemble,0,4|outer_5|ensemble,56,0.6782051282051282
Di-MMLP,0.2,0.4,22,1,ensemble,0,22|outer_1|ensemble,57,0.4604938271604938
Di-MMLP,0.2,0.4,22,2,ensemble,0,22|outer_2|ensemble,56,0.6768837803320562
Di-MMLP,0.2,0.4,22,3,ensemble,0,22|outer_3|ensemble,56,0.59514687100894
Di-MMLP,0.2,0.4,22,4,ensemble,0,22|outer_4|ensemble,56,0.6973180076628354
Di-MMLP,0.2,0.4,22,5,ensemble,0,22|outer_5|ensemble,56,0.6153846153846153
Di-MMLP,0.2,0.4,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5790123456790123
Di-MMLP,0.2,0.4,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6513409961685824
Di-MMLP,0.2,0.4,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.6934865900383141
Di-MMLP,0.2,0.4,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.5836526181353767
Di-MMLP,0.2,0.4,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.6666666666666667
Di-MMLP,0.2,0.4,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.46913580246913583
Di-MMLP,0.2,0.4,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.6883780332056194
Di-MMLP,0.2,0.4,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.7037037037037037
Di-MMLP,0.2,0.4,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.5964240102171137
Di-MMLP,0.2,0.4,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.65
Di-MMLP,0.2,0.4,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.5753086419753087
Di-MMLP,0.2,0.4,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.632183908045977
Di-MMLP,0.2,0.4,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.6628352490421456
Di-MMLP,0.2,0.4,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.5874840357598978
Di-MMLP,0.2,0.4,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.5602564102564103
Di-MMLP,0.2,0.6,4,1,ensemble,0,4|outer_1|ensemble,57,0.6518518518518519
Di-MMLP,0.2,0.6,4,2,ensemble,0,4|outer_2|ensemble,56,0.6104725415070242
Di-MMLP,0.2,0.6,4,3,ensemble,0,4|outer_3|ensemble,56,0.561941251596424
Di-MMLP,0.2,0.6,4,4,ensemble,0,4|outer_4|ensemble,56,0.5478927203065134
Di-MMLP,0.2,0.6,4,5,ensemble,0,4|outer_5|ensemble,56,0.6153846153846154
Di-MMLP,0.2,0.6,22,1,ensemble,0,22|outer_1|ensemble,57,0.5061728395061729
Di-MMLP,0.2,0.6,22,2,ensemble,0,22|outer_2|ensemble,56,0.6896551724137931
Di-MMLP,0.2,0.6,22,3,ensemble,0,22|outer_3|ensemble,56,0.558109833971903
Di-MMLP,0.2,0.6,22,4,ensemble,0,22|outer_4|ensemble,56,0.6053639846743295
Di-MMLP,0.2,0.6,22,5,ensemble,0,22|outer_5|ensemble,56,0.5538461538461539
Di-MMLP,0.2,0.6,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.4580246913580247
Di-MMLP,0.2,0.6,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6411238825031929
Di-MMLP,0.2,0.6,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.6883780332056195
Di-MMLP,0.2,0.6,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.5606641123882503
Di-MMLP,0.2,0.6,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.5961538461538461
Di-MMLP,0.2,0.6,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.5271604938271605
Di-MMLP,0.2,0.6,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.5644955300127714
Di-MMLP,0.2,0.6,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.6283524904214559
Di-MMLP,0.2,0.6,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.5772669220945084
