outer_fold,inner_fold,hp_name,batch_size,learning_rate,dyam_dropout,dyam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,seed,train_missing_location,train_missing_prob
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,12,1.2570188244183857,0.683713952700297,0.5651260504201681,0.7043424086365059,0.5555555555555556,0.5816323012113571,0.6239339709281921,0.5665167147914568,0.2218937650322914,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,13,1.2704559961954753,0.6812095244725546,0.569327731092437,0.7044170617573776,0.5555555555555556,0.571217879652977,0.6372552712758383,0.5566769018769264,0.2550793985525767,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,14,1.276232918103536,0.6837337613105774,0.5714285714285714,0.7109395530359569,0.5333333333333333,0.5822691122690836,0.6499462425708771,0.5487829546133677,0.25834573805332184,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,15,1.2032672762870789,0.6867643793423971,0.560924369747899,0.6918868170857745,0.5555555555555556,0.5688920815785726,0.6164510399103165,0.5197904631495476,0.22341923664013544,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,1.2678942779699962,0.6894027392069498,0.5714285714285714,0.6803420260101811,0.5555555555555556,0.5635427931944529,0.6287750353415807,0.5688910509149233,0.23409401377042136,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,17,1.2293706486622493,0.6857192317644755,0.5798319327731092,0.7096411383942419,0.5777777777777777,0.5544289151827494,0.6281135280927023,0.5272089888652166,0.24682704421381155,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,18,1.218365212281545,0.6795228123664856,0.5903361344537814,0.7164288035492429,0.5555555555555556,0.543958991765976,0.6120515565077463,0.5256679579615593,0.2688190129896005,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,19,1.2243069807688396,0.68308158715566,0.6029411764705883,0.709369300009917,0.5555555555555556,0.547944501042366,0.6205131659905115,0.5168809220194817,0.28970960279305774,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,20,1.2480972011884053,0.6804205576578776,0.5798319327731092,0.690511579860786,0.5111111111111111,0.5469442357619604,0.6045193473498026,0.5371907725930214,0.35462355241179466,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,21,1.2138407031695049,0.6764319936434428,0.5798319327731092,0.714065847343205,0.5555555555555556,0.5439659506082535,0.6206762293974558,0.5100747495889664,0.2769657305131356,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,22,1.243308385213216,0.669191320737203,0.6092436974789917,0.7295490416395299,0.5777777777777777,0.5295971184968948,0.5988001227378845,0.5566909362872442,0.2927244280775388,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,23,1.2265171905358632,0.6698926091194153,0.6029411764705882,0.7270500176902017,0.5333333333333333,0.5408711954951286,0.6049013882875443,0.5377006034056345,0.27971728642781574,2002,global,0.6
