model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.0,55602,1,5,55602|outer_1|inner_5,57,0.49876543209876545
Di-MMLP,0.0,0.0,55602,2,1,55602|outer_2|inner_1,56,0.4163473818646233
Di-MMLP,0.0,0.0,55602,2,2,55602|outer_2|inner_2,56,0.5862068965517242
Di-MMLP,0.0,0.0,55602,2,3,55602|outer_2|inner_3,56,0.6934865900383143
Di-MMLP,0.0,0.0,55602,2,4,55602|outer_2|inner_4,56,0.43295019157088127
Di-MMLP,0.0,0.0,55602,2,5,55602|outer_2|inner_5,56,0.48659003831417624
Di-MMLP,0.0,0.0,55602,3,1,55602|outer_3|inner_1,56,0.6666666666666666
Di-MMLP,0.0,0.0,55602,3,2,55602|outer_3|inner_2,56,0.7662835249042146
Di-MMLP,0.0,0.0,55602,3,3,55602|outer_3|inner_3,56,0.7177522349936143
Di-MMLP,0.0,0.0,55602,3,4,55602|outer_3|inner_4,56,0.6871008939974458
Di-MMLP,0.0,0.0,55602,3,5,55602|outer_3|inner_5,56,0.47637292464878667
Di-MMLP,0.0,0.0,55602,4,1,55602|outer_4|inner_1,56,0.5427841634738186
Di-MMLP,0.0,0.0,55602,4,2,55602|outer_4|inner_2,56,0.5172413793103449
Di-MMLP,0.0,0.0,55602,4,3,55602|outer_4|inner_3,56,0.5606641123882503
Di-MMLP,0.0,0.0,55602,4,4,55602|outer_4|inner_4,56,0.5031928480204342
Di-MMLP,0.0,0.0,55602,4,5,55602|outer_4|inner_5,56,0.5159642401021711
Di-MMLP,0.0,0.0,55602,5,1,55602|outer_5|inner_1,56,0.4371794871794872
Di-MMLP,0.0,0.0,55602,5,2,55602|outer_5|inner_2,56,0.5192307692307692
Di-MMLP,0.0,0.0,55602,5,3,55602|outer_5|inner_3,56,0.5089743589743589
Di-MMLP,0.0,0.0,55602,5,4,55602|outer_5|inner_4,56,0.5256410256410257
Di-MMLP,0.0,0.0,55602,5,5,55602|outer_5|inner_5,56,0.4987179487179487
Di-MMLP,0.0,0.2,4,1,1,4|outer_1|inner_1,57,0.5530864197530865
Di-MMLP,0.0,0.2,4,1,2,4|outer_1|inner_2,57,0.6234567901234568
Di-MMLP,0.0,0.2,4,1,3,4|outer_1|inner_3,57,0.7888888888888889
Di-MMLP,0.0,0.2,4,1,4,4|outer_1|inner_4,57,0.645679012345679
Di-MMLP,0.0,0.2,4,1,5,4|outer_1|inner_5,57,0.5172839506172839
Di-MMLP,0.0,0.2,4,2,1,4|outer_2|inner_1,56,0.49297573435504477
Di-MMLP,0.0,0.2,4,2,2,4|outer_2|inner_2,56,0.44955300127713926
Di-MMLP,0.0,0.2,4,2,3,4|outer_2|inner_3,56,0.4738186462324393
Di-MMLP,0.0,0.2,4,2,4,4|outer_2|inner_4,56,0.5363984674329502
Di-MMLP,0.0,0.2,4,2,5,4|outer_2|inner_5,56,0.6615581098339719
Di-MMLP,0.0,0.2,4,3,1,4|outer_3|inner_1,56,0.5568326947637292
Di-MMLP,0.0,0.2,4,3,2,4|outer_3|inner_2,56,0.6219667943805874
Di-MMLP,0.0,0.2,4,3,3,4|outer_3|inner_3,56,0.5874840357598978
Di-MMLP,0.0,0.2,4,3,4,4|outer_3|inner_4,56,0.5862068965517242
Di-MMLP,0.0,0.2,4,3,5,4|outer_3|inner_5,56,0.6104725415070242
Di-MMLP,0.0,0.2,4,4,1,4|outer_4|inner_1,56,0.6053639846743294
Di-MMLP,0.0,0.2,4,4,2,4|outer_4|inner_2,56,0.6245210727969349
Di-MMLP,0.0,0.2,4,4,3,4|outer_4|inner_3,56,0.5236270753512133
Di-MMLP,0.0,0.2,4,4,4,4|outer_4|inner_4,56,0.6462324393358876
Di-MMLP,0.0,0.2,4,4,5,4|outer_4|inner_5,56,0.5696040868454662
Di-MMLP,0.0,0.2,4,5,1,4|outer_5|inner_1,56,0.5743589743589743
Di-MMLP,0.0,0.2,4,5,2,4|outer_5|inner_2,56,0.40512820512820513
Di-MMLP,0.0,0.2,4,5,3,4|outer_5|inner_3,56,0.6153846153846154
Di-MMLP,0.0,0.2,4,5,4,4|outer_5|inner_4,56,0.7217948717948718
Di-MMLP,0.0,0.2,4,5,5,4|outer_5|inner_5,56,0.7269230769230769
Di-MMLP,0.0,0.2,22,1,1,22|outer_1|inner_1,57,0.5703703703703704
Di-MMLP,0.0,0.2,22,1,2,22|outer_1|inner_2,57,0.5308641975308641
Di-MMLP,0.0,0.2,22,1,3,22|outer_1|inner_3,57,0.48271604938271606
Di-MMLP,0.0,0.2,22,1,4,22|outer_1|inner_4,57,0.5703703703703704
Di-MMLP,0.0,0.2,22,1,5,22|outer_1|inner_5,57,0.5358024691358025
Di-MMLP,0.0,0.2,22,2,1,22|outer_2|inner_1,56,0.5849297573435503
Di-MMLP,0.0,0.2,22,2,2,22|outer_2|inner_2,56,0.5427841634738186
Di-MMLP,0.0,0.2,22,2,3,22|outer_2|inner_3,56,0.43933588761174974
Di-MMLP,0.0,0.2,22,2,4,22|outer_2|inner_4,56,0.6002554278416347
Di-MMLP,0.0,0.2,22,2,5,22|outer_2|inner_5,56,0.6257982120051087
Di-MMLP,0.0,0.2,22,3,1,22|outer_3|inner_1,56,0.7407407407407408
Di-MMLP,0.0,0.2,22,3,2,22|outer_3|inner_2,56,0.5836526181353768
Di-MMLP,0.0,0.2,22,3,3,22|outer_3|inner_3,56,0.7088122605363985
Di-MMLP,0.0,0.2,22,3,4,22|outer_3|inner_4,56,0.5274584929757344
Di-MMLP,0.0,0.2,22,3,5,22|outer_3|inner_5,56,0.6704980842911877
Di-MMLP,0.0,0.2,22,4,1,22|outer_4|inner_1,56,0.6577266922094509
Di-MMLP,0.0,0.2,22,4,2,22|outer_4|inner_2,56,0.7215836526181353
Di-MMLP,0.0,0.2,22,4,3,22|outer_4|inner_3,56,0.7381864623243933
Di-MMLP,0.0,0.2,22,4,4,22|outer_4|inner_4,56,0.7049808429118775
Di-MMLP,0.0,0.2,22,4,5,22|outer_4|inner_5,56,0.6590038314176245
Di-MMLP,0.0,0.2,22,5,1,22|outer_5|inner_1,56,0.6923076923076923
Di-MMLP,0.0,0.2,22,5,2,22|outer_5|inner_2,56,0.5192307692307692
Di-MMLP,0.0,0.2,22,5,3,22|outer_5|inner_3,56,0.573076923076923
Di-MMLP,0.0,0.2,22,5,4,22|outer_5|inner_4,56,0.7384615384615385
Di-MMLP,0.0,0.2,22,5,5,22|outer_5|inner_5,56,0.5897435897435898
Di-MMLP,0.0,0.2,2002,1,1,2002|outer_1|inner_1,57,0.508641975308642
Di-MMLP,0.0,0.2,2002,1,2,2002|outer_1|inner_2,57,0.5814814814814815
Di-MMLP,0.0,0.2,2002,1,3,2002|outer_1|inner_3,57,0.5185185185185186
Di-MMLP,0.0,0.2,2002,1,4,2002|outer_1|inner_4,57,0.7506172839506171
Di-MMLP,0.0,0.2,2002,1,5,2002|outer_1|inner_5,57,0.5246913580246914
Di-MMLP,0.0,0.2,2002,2,1,2002|outer_2|inner_1,56,0.6270753512132823
Di-MMLP,0.0,0.2,2002,2,2,2002|outer_2|inner_2,56,0.5823754789272031
Di-MMLP,0.0,0.2,2002,2,3,2002|outer_2|inner_3,56,0.5759897828863346
Di-MMLP,0.0,0.2,2002,2,4,2002|outer_2|inner_4,56,0.5402298850574712
Di-MMLP,0.0,0.2,2002,2,5,2002|outer_2|inner_5,56,0.6883780332056194
Di-MMLP,0.0,0.2,2002,3,1,2002|outer_3|inner_1,56,0.6590038314176245
Di-MMLP,0.0,0.2,2002,3,2,2002|outer_3|inner_2,56,0.4814814814814815
Di-MMLP,0.0,0.2,2002,3,3,2002|outer_3|inner_3,56,0.5708812260536399
Di-MMLP,0.0,0.2,2002,3,4,2002|outer_3|inner_4,56,0.6462324393358876
Di-MMLP,0.0,0.2,2002,3,5,2002|outer_3|inner_5,56,0.6526181353767562
Di-MMLP,0.0,0.2,2002,4,1,2002|outer_4|inner_1,56,0.49808429118773945
Di-MMLP,0.0,0.2,2002,4,2,2002|outer_4|inner_2,56,0.5530012771392081
Di-MMLP,0.0,0.2,2002,4,3,2002|outer_4|inner_3,56,0.6040868454661559
Di-MMLP,0.0,0.2,2002,4,4,2002|outer_4|inner_4,56,0.6602809706257982
Di-MMLP,0.0,0.2,2002,4,5,2002|outer_4|inner_5,56,0.6194125159642401
Di-MMLP,0.0,0.2,2002,5,1,2002|outer_5|inner_1,56,0.7320512820512821
Di-MMLP,0.0,0.2,2002,5,2,2002|outer_5|inner_2,56,0.6038461538461539
Di-MMLP,0.0,0.2,2002,5,3,2002|outer_5|inner_3,56,0.6141025641025641
Di-MMLP,0.0,0.2,2002,5,4,2002|outer_5|inner_4,56,0.5461538461538462
Di-MMLP,0.0,0.2,2002,5,5,2002|outer_5|inner_5,56,0.5987179487179488
Di-MMLP,0.0,0.2,18473,1,1,18473|outer_1|inner_1,57,0.5666666666666665
Di-MMLP,0.0,0.2,18473,1,2,18473|outer_1|inner_2,57,0.5753086419753086
Di-MMLP,0.0,0.2,18473,1,3,18473|outer_1|inner_3,57,0.4925925925925925
Di-MMLP,0.0,0.2,18473,1,4,18473|outer_1|inner_4,57,0.6481481481481483
Di-MMLP,0.0,0.2,18473,1,5,18473|outer_1|inner_5,57,0.5037037037037038
Di-MMLP,0.0,0.2,18473,2,1,18473|outer_2|inner_1,56,0.6883780332056194
Di-MMLP,0.0,0.2,18473,2,2,18473|outer_2|inner_2,56,0.5376756066411239
Di-MMLP,0.0,0.2,18473,2,3,18473|outer_2|inner_3,56,0.6245210727969348
Di-MMLP,0.0,0.2,18473,2,4,18473|outer_2|inner_4,56,0.6296296296296297
Di-MMLP,0.0,0.2,18473,2,5,18473|outer_2|inner_5,56,0.5747126436781609
Di-MMLP,0.0,0.2,18473,3,1,18473|outer_3|inner_1,56,0.6245210727969348
Di-MMLP,0.0,0.2,18473,3,2,18473|outer_3|inner_2,56,0.7458492975734355
