
Outer fold 1

Inner fold 1
E11 | T-Loss: 0.6001 | V-Loss: 0.6295 | T-AUC: 0.782 | V-AUC: 0.651
E12 | T-Loss: 0.5624 | V-Loss: 0.6239 | T-AUC: 0.829 | V-AUC: 0.690
E13 | T-Loss: 0.5735 | V-Loss: 0.6210 | T-AUC: 0.821 | V-AUC: 0.690
E14 | T-Loss: 0.5855 | V-Loss: 0.6153 | T-AUC: 0.812 | V-AUC: 0.705
E15 | T-Loss: 0.5943 | V-Loss: 0.6225 | T-AUC: 0.811 | V-AUC: 0.675
E16 | T-Loss: 0.5754 | V-Loss: 0.6216 | T-AUC: 0.851 | V-AUC: 0.677
E17 | T-Loss: 0.5814 | V-Loss: 0.6197 | T-AUC: 0.846 | V-AUC: 0.679
E18 | T-Loss: 0.5800 | V-Loss: 0.6233 | T-AUC: 0.811 | V-AUC: 0.677
E19 | T-Loss: 0.5615 | V-Loss: 0.6186 | T-AUC: 0.858 | V-AUC: 0.696
E20 | T-Loss: 0.5806 | V-Loss: 0.6107 | T-AUC: 0.830 | V-AUC: 0.703
E21 | T-Loss: 0.5656 | V-Loss: 0.6208 | T-AUC: 0.836 | V-AUC: 0.683
E22 | T-Loss: 0.5478 | V-Loss: 0.6271 | T-AUC: 0.864 | V-AUC: 0.668
E23 | T-Loss: 0.5632 | V-Loss: 0.6217 | T-AUC: 0.824 | V-AUC: 0.679
E24 | T-Loss: 0.5583 | V-Loss: 0.6217 | T-AUC: 0.838 | V-AUC: 0.685
E25 | T-Loss: 0.5467 | V-Loss: 0.6232 | T-AUC: 0.857 | V-AUC: 0.677
E26 | T-Loss: 0.5845 | V-Loss: 0.6192 | T-AUC: 0.804 | V-AUC: 0.694
E27 | T-Loss: 0.5357 | V-Loss: 0.6239 | T-AUC: 0.890 | V-AUC: 0.683
E28 | T-Loss: 0.5498 | V-Loss: 0.6268 | T-AUC: 0.892 | V-AUC: 0.679
E29 | T-Loss: 0.5268 | V-Loss: 0.6197 | T-AUC: 0.923 | V-AUC: 0.698
E30 | T-Loss: 0.5538 | V-Loss: 0.6192 | T-AUC: 0.867 | V-AUC: 0.685
Early stopping triggered at epoch 30.

Inner fold 5
E1 | T-Loss: 0.7301 | V-Loss: 0.7304 | T-AUC: 0.521 | V-AUC: 0.394
E2 | T-Loss: 0.7346 | V-Loss: 0.7500 | T-AUC: 0.560 | V-AUC: 0.422
E3 | T-Loss: 0.6945 | V-Loss: 0.7582 | T-AUC: 0.627 | V-AUC: 0.405
E4 | T-Loss: 0.6539 | V-Loss: 0.7675 | T-AUC: 0.702 | V-AUC: 0.403
E5 | T-Loss: 0.6468 | V-Loss: 0.7632 | T-AUC: 0.744 | V-AUC: 0.427
E6 | T-Loss: 0.6866 | V-Loss: 0.7678 | T-AUC: 0.639 | V-AUC: 0.418
E7 | T-Loss: 0.6426 | V-Loss: 0.7544 | T-AUC: 0.713 | V-AUC: 0.405
E8 | T-Loss: 0.6714 | V-Loss: 0.7631 | T-AUC: 0.637 | V-AUC: 0.427
E9 | T-Loss: 0.6390 | V-Loss: 0.7526 | T-AUC: 0.771 | V-AUC: 0.446
E10 | T-Loss: 0.6365 | V-Loss: 0.7559 | T-AUC: 0.754 | V-AUC: 0.427
E11 | T-Loss: 0.6245 | V-Loss: 0.7582 | T-AUC: 0.829 | V-AUC: 0.433
Early stopping triggered at epoch 11.

Outer fold 3

Inner fold 1
E1 | T-Loss: 0.7249 | V-Loss: 0.6823 | T-AUC: 0.523 | V-AUC: 0.696
E2 | T-Loss: 0.7222 | V-Loss: 0.6773 | T-AUC: 0.556 | V-AUC: 0.702
E3 | T-Loss: 0.7282 | V-Loss: 0.6757 | T-AUC: 0.554 | V-AUC: 0.718
E4 | T-Loss: 0.6834 | V-Loss: 0.6773 | T-AUC: 0.605 | V-AUC: 0.710
E5 | T-Loss: 0.6882 | V-Loss: 0.6693 | T-AUC: 0.651 | V-AUC: 0.751
E6 | T-Loss: 0.6870 | V-Loss: 0.6651 | T-AUC: 0.650 | V-AUC: 0.759
E7 | T-Loss: 0.6644 | V-Loss: 0.6648 | T-AUC: 0.709 | V-AUC: 0.738
E8 | T-Loss: 0.6674 | V-Loss: 0.6676 | T-AUC: 0.676 | V-AUC: 0.732
E9 | T-Loss: 0.6507 | V-Loss: 0.6532 | T-AUC: 0.711 | V-AUC: 0.753
E10 | T-Loss: 0.6517 | V-Loss: 0.6590 | T-AUC: 0.734 | V-AUC: 0.740
E11 | T-Loss: 0.6611 | V-Loss: 0.6566 | T-AUC: 0.710 | V-AUC: 0.759
E12 | T-Loss: 0.6475 | V-Loss: 0.6586 | T-AUC: 0.771 | V-AUC: 0.740
E13 | T-Loss: 0.6387 | V-Loss: 0.6594 | T-AUC: 0.763 | V-AUC: 0.744
E14 | T-Loss: 0.6250 | V-Loss: 0.6617 | T-AUC: 0.802 | V-AUC: 0.734
E15 | T-Loss: 0.6267 | V-Loss: 0.6524 | T-AUC: 0.813 | V-AUC: 0.744
E16 | T-Loss: 0.6360 | V-Loss: 0.6491 | T-AUC: 0.780 | V-AUC: 0.753
E17 | T-Loss: 0.6100 | V-Loss: 0.6501 | T-AUC: 0.832 | V-AUC: 0.730
E18 | T-Loss: 0.6229 | V-Loss: 0.6497 | T-AUC: 0.795 | V-AUC: 0.722
E19 | T-Loss: 0.6057 | V-Loss: 0.6591 | T-AUC: 0.849 | V-AUC: 0.740
E20 | T-Loss: 0.6034 | V-Loss: 0.6525 | T-AUC: 0.839 | V-AUC: 0.738
E21 | T-Loss: 0.6015 | V-Loss: 0.6491 | T-AUC: 0.821 | V-AUC: 0.738
E22 | T-Loss: 0.6157 | V-Loss: 0.6396 | T-AUC: 0.808 | V-AUC: 0.744
E23 | T-Loss: 0.5836 | V-Loss: 0.6466 | T-AUC: 0.873 | V-AUC: 0.748
E24 | T-Loss: 0.5961 | V-Loss: 0.6437 | T-AUC: 0.843 | V-AUC: 0.755
E25 | T-Loss: 0.5627 | V-Loss: 0.6517 | T-AUC: 0.913 | V-AUC: 0.730
E26 | T-Loss: 0.5636 | V-Loss: 0.6547 | T-AUC: 0.905 | V-AUC: 0.714
E27 | T-Loss: 0.5864 | V-Loss: 0.6579 | T-AUC: 0.873 | V-AUC: 0.700
E28 | T-Loss: 0.5690 | V-Loss: 0.6486 | T-AUC: 0.888 | V-AUC: 0.728
E29 | T-Loss: 0.5495 | V-Loss: 0.6528 | T-AUC: 0.908 | V-AUC: 0.742
E30 | T-Loss: 0.5522 | V-Loss: 0.6586 | T-AUC: 0.935 | V-AUC: 0.728
E31 | T-Loss: 0.5601 | V-Loss: 0.6559 | T-AUC: 0.886 | V-AUC: 0.722
E32 | T-Loss: 0.5377 | V-Loss: 0.6522 | T-AUC: 0.924 | V-AUC: 0.728
Early stopping triggered at epoch 32.

Inner fold 2
E1 | T-Loss: 0.6857 | V-Loss: 0.6576 | T-AUC: 0.449 | V-AUC: 0.672
E2 | T-Loss: 0.6478 | V-Loss: 0.6452 | T-AUC: 0.563 | V-AUC: 0.676
E3 | T-Loss: 0.6190 | V-Loss: 0.6411 | T-AUC: 0.646 | V-AUC: 0.674
E4 | T-Loss: 0.6164 | V-Loss: 0.6379 | T-AUC: 0.662 | V-AUC: 0.679
E5 | T-Loss: 0.6057 | V-Loss: 0.6364 | T-AUC: 0.719 | V-AUC: 0.672
E6 | T-Loss: 0.6197 | V-Loss: 0.6350 | T-AUC: 0.687 | V-AUC: 0.683
E7 | T-Loss: 0.5731 | V-Loss: 0.6268 | T-AUC: 0.777 | V-AUC: 0.706
E8 | T-Loss: 0.5862 | V-Loss: 0.6260 | T-AUC: 0.771 | V-AUC: 0.693
E9 | T-Loss: 0.5894 | V-Loss: 0.6260 | T-AUC: 0.750 | V-AUC: 0.708
E10 | T-Loss: 0.5820 | V-Loss: 0.6228 | T-AUC: 0.799 | V-AUC: 0.729
E11 | T-Loss: 0.5761 | V-Loss: 0.6248 | T-AUC: 0.781 | V-AUC: 0.712
E12 | T-Loss: 0.5938 | V-Loss: 0.6287 | T-AUC: 0.775 | V-AUC: 0.655
E13 | T-Loss: 0.5696 | V-Loss: 0.6279 | T-AUC: 0.821 | V-AUC: 0.670
E14 | T-Loss: 0.5820 | V-Loss: 0.6200 | T-AUC: 0.790 | V-AUC: 0.693
E15 | T-Loss: 0.5556 | V-Loss: 0.6235 | T-AUC: 0.843 | V-AUC: 0.695
E16 | T-Loss: 0.5444 | V-Loss: 0.6218 | T-AUC: 0.855 | V-AUC: 0.683
E17 | T-Loss: 0.5462 | V-Loss: 0.6250 | T-AUC: 0.861 | V-AUC: 0.672
E18 | T-Loss: 0.5462 | V-Loss: 0.6229 | T-AUC: 0.878 | V-AUC: 0.668
E19 | T-Loss: 0.5489 | V-Loss: 0.6201 | T-AUC: 0.875 | V-AUC: 0.685
E20 | T-Loss: 0.5170 | V-Loss: 0.6218 | T-AUC: 0.908 | V-AUC: 0.670
E21 | T-Loss: 0.5166 | V-Loss: 0.6198 | T-AUC: 0.923 | V-AUC: 0.672
E22 | T-Loss: 0.5306 | V-Loss: 0.6195 | T-AUC: 0.877 | V-AUC: 0.683
E23 | T-Loss: 0.5320 | V-Loss: 0.6177 | T-AUC: 0.875 | V-AUC: 0.679
E24 | T-Loss: 0.5139 | V-Loss: 0.6216 | T-AUC: 0.918 | V-AUC: 0.670
E25 | T-Loss: 0.5080 | V-Loss: 0.6174 | T-AUC: 0.922 | V-AUC: 0.676
E26 | T-Loss: 0.5378 | V-Loss: 0.6168 | T-AUC: 0.867 | V-AUC: 0.672
E27 | T-Loss: 0.5075 | V-Loss: 0.6202 | T-AUC: 0.928 | V-AUC: 0.643
E28 | T-Loss: 0.5213 | V-Loss: 0.6186 | T-AUC: 0.908 | V-AUC: 0.653
E29 | T-Loss: 0.5285 | V-Loss: 0.6192 | T-AUC: 0.913 | V-AUC: 0.634
E30 | T-Loss: 0.5102 | V-Loss: 0.6131 | T-AUC: 0.923 | V-AUC: 0.689
E31 | T-Loss: 0.5185 | V-Loss: 0.6054 | T-AUC: 0.900 | V-AUC: 0.716
E32 | T-Loss: 0.5387 | V-Loss: 0.6064 | T-AUC: 0.862 | V-AUC: 0.704
