model_name,scenario,train_prop,test_prop,train_missing_prop,test_missing_prop,mean_auc,std_auc,n_replicates
pAM,both,0.0,0.25,0.0,0.25,0.6367722473604827,0.10412353424529897,25
pAM,both,0.0,0.5,0.0,0.5,0.6261387631975868,0.11360292096844474,25
pAM,both,0.0,0.75,0.0,0.75,0.6429411764705882,0.10088347463843543,25
pAM,both,0.25,0.0,0.25,0.0,0.6582503770739065,0.07263337449743913,25
pAM,both,0.25,0.25,0.25,0.25,0.6344343891402715,0.08342130777586149,25
pAM,both,0.25,0.5,0.25,0.5,0.6132126696832579,0.07980699525685277,25
pAM,both,0.25,0.75,0.25,0.75,0.6529411764705882,0.0949452828328009,25
pAM,both,0.5,0.0,0.5,0.0,0.6601508295625942,0.09484636345335337,25
pAM,both,0.5,0.25,0.5,0.25,0.6281447963800905,0.09504485971662002,25
pAM,both,0.5,0.5,0.5,0.5,0.6302564102564102,0.07573681244209332,25
pAM,both,0.5,0.75,0.5,0.75,0.6756711915535446,0.08480812700925656,25
pAM,both,0.75,0.0,0.75,0.0,0.6405882352941177,0.10858411941519575,25
pAM,both,0.75,0.25,0.75,0.25,0.6228959276018099,0.10719023151385361,25
pAM,both,0.75,0.5,0.75,0.5,0.6207993966817495,0.09357948819760716,25
pAM,both,0.75,0.75,0.75,0.75,0.6604675716440421,0.1073164019224518,25
