model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
KNN_MLP,envelope,0.2,0.2,0.2,0.6128097586534368,0.06741190846356555,125,0.011887347807577608,0.6005215188132431,0.6242962144283983,0.6116368864001049,0.9980860744517042,0.019743973755624422,0.9783421006960797,1.0178300482073286,False
KNN_MLP,envelope,0.2,0.4,0.4,0.5918717228280448,0.0692973056247858,125,0.011979805481874495,0.5801976038903626,0.6041572148541116,0.6116368864001049,1.0333943366606864,0.02134856991268519,1.0120457667480012,1.0547429065733716,False
SMILe,envelope,0.0,0.0,0.0,0.6232616432524479,0.06446447608569117,125,0.01128622638111143,0.6119762602744212,0.6345487130366441,0.6232616432524479,1.0,0.01844228717357832,0.9815577128264217,1.0184422871735783,False
SMILe,envelope,0.0,0.2,0.2,0.6152820774797786,0.06501545578250417,125,0.011286998231653467,0.6035454769623734,0.6261194734256803,0.6232616432524479,1.0129689553210357,0.018929589329868657,0.994039365991167,1.0318985446509044,False
SMILe,envelope,0.0,0.4,0.4,0.5900927923502637,0.06762333864297129,125,0.011589650751547276,0.5781572112519239,0.6013365127550184,0.6232616432524479,1.0562095509929497,0.02115995391594261,1.035049597077007,1.0773695049088923,False
SMILe,envelope,0.0,0.6,0.6,0.5697033238366573,0.06342234788495787,125,0.010847118577463344,0.5592085008350527,0.5809027379899794,0.6232616432524479,1.0940108951008096,0.021234202631232435,1.0727766924695772,1.115245097732042,False
SMILe,envelope,0.0,0.8,0.8,0.5432725284081605,0.07204883395518673,125,0.01283320250843245,0.5302863798015521,0.555952784818417,0.6232616432524479,1.1472357070560204,0.027755687473929314,1.119480019582091,1.1749913945299497,False
VAE_MLP,envelope,0.0,0.2,0.2,0.5941343943412909,0.07228676260031217,125,0.012778286668631345,0.5809229066378493,0.606479479975112,0.5955732914169697,1.0024218377010037,0.02203336893856478,0.9803884687624389,1.0244552066395685,False
VAE_MLP,envelope,0.0,0.6,0.6,0.5607798801453973,0.07684330128070334,125,0.01352981546975801,0.5473100864525003,0.5743697173920164,0.5955732914169697,1.0620446854522514,0.026257225978260745,1.0357874594739906,1.0883019114305121,False
VAE_MLP,envelope,0.0,0.8,0.8,0.5415695582408228,0.07887880824725235,125,0.013720421455938714,0.5274627409372238,0.5549035838491012,0.5955732914169697,1.0997170766975288,0.028585026900843413,1.0711320497966854,1.1283021035983722,False
VAE_MLP,envelope,0.2,0.0,0.0,0.6072448767069458,0.07362496360089762,125,0.01335520679831026,0.5940394505026688,0.6207498640992893,0.5955732914169697,0.9807794421366377,0.022055464065036223,0.9587239780716015,1.002834906201674,False
VAE_MLP,envelope,0.2,0.4,0.4,0.5766989946622132,0.07642921567325679,125,0.012889849690539412,0.5638194341290892,0.589599133510168,0.5955732914169697,1.0327281596282505,0.023610313645168635,1.0091178459830819,1.0563384732734191,False
ZI_MLP,envelope,0.0,0.0,0.0,0.6116368864001049,0.07187507327913648,125,0.012294863935553624,0.5993451121590202,0.6239348400301274,0.6116368864001049,1.0,0.020513936074423533,0.9794860639255765,1.0205139360744235,False
ZI_MLP,envelope,0.0,0.2,0.2,0.6016931722173102,0.07345372438484066,125,0.012824385335822086,0.5886136211808627,0.6142623918525069,0.6116368864001049,1.0165262207416297,0.02213790958049411,0.9943883111611356,1.0386641303221238,False
ZI_MLP,envelope,0.0,0.4,0.4,0.5787096440383798,0.07434175905842616,125,0.013144539574941883,0.5656970311425484,0.5919861102924322,0.6116368864001049,1.0568976907520509,0.024563809565187,1.0323338811868639,1.0814615003172379,False
ZI_MLP,envelope,0.0,0.6,0.6,0.5552789861479518,0.06771543354727816,125,0.011691935357107719,0.5437687919572978,0.5671526626715132,0.6116368864001049,1.101494747069605,0.0236918914094717,1.0778028556601333,1.1251866384790767,False
ZI_MLP,envelope,0.0,0.8,0.8,0.5252853390968333,0.07344339442954811,125,0.01246380669351932,0.5132348030258376,0.5381624164128762,0.6116368864001049,1.1643897913689025,0.028299765822070944,1.1360900255468316,1.1926895571909735,False
pAM,envelope,0.0,0.0,0.0,0.595544015456659,0.07561315241776803,125,0.01270582178995977,0.5830543756754101,0.6084660192553296,0.595544015456659,1.0,0.02179991278544402,0.978200087214556,1.021799912785444,False
pAM,envelope,0.0,0.2,0.2,0.5886722598814552,0.07395015130944135,125,0.012571408619052205,0.5764651488358385,0.601607966073943,0.595544015456659,1.011673313052984,0.022076271158965044,0.989597041894019,1.033749584211949,False
pAM,envelope,0.0,0.4,0.4,0.5789248190719455,0.07508739929497263,125,0.013149201296787372,0.5662888875790028,0.5925872901725775,0.595544015456659,1.0287070027699887,0.023908197931945763,1.004798804838043,1.0526152007019345,False
pAM,envelope,0.0,0.6,0.6,0.5580536660444707,0.06924924020972001,125,0.012500109866719011,0.5459497504666472,0.5709499702000852,0.595544015456659,1.0671805449786271,0.02445199725819669,1.0427285477204304,1.0916325422368238,False
